"Crab","Treatment","day","isDead","Group"
"CH01_1","Low CO2",7,1,"LA"
"CH01_10","Low CO2",28,1,"LA"
"CH01_11","Low CO2",24,1,"LA"
"CH01_12","Low CO2",4,0,"LB"
"CH01_13","Low CO2",15,0,"LC"
"CH01_14","Low CO2",324,0,"LC"
"CH01_16","Low CO2",210,1,"LC"
"CH01_18","Low CO2",9,1,"LA"
"CH01_19","Low CO2",232,1,"LB"
"CH01_2","Low CO2",29,1,"LA"
"CH01_20","Low CO2",86,1,"LC"
"CH01_22","Low CO2",324,0,"LB"
"CH01_23","Low CO2",29,1,"LB"
"CH01_24","Low CO2",10,1,"LA"
"CH01_25","Low CO2",283,1,"LB"
"CH01_27","Low CO2",258,1,"LC"
"CH01_28","Low CO2",5,0,"LA"
"CH01_30","Low CO2",322,0,"LC"
"CH01_32","Low CO2",53,1,"LB"
"CH01_34","Low CO2",4,0,"LC"
"CH01_35","Low CO2",4,0,"LB"
"CH01_36","Low CO2",141,1,"LB"
"CH01_37","Low CO2",1,0,"LA"
"CH01_38","Low CO2",323,0,"LB"
"CH01_39","Low CO2",283,1,"LA"
"CH01_4","Low CO2",6,0,"LB"
"CH01_40","Low CO2",193,1,"LA"
"CH01_41","Low CO2",304,1,"LC"
"CH01_5","Low CO2",33,0,"LC"
"CH01_6","Low CO2",323,0,"LC"
"CH01_7","Low CO2",6,0,"LB"
"CH01_8","Low CO2",322,0,"LA"
"CH01_9","Low CO2",7,0,"LA"
"CH01_P1","Low CO2",181,1,"LA"
"CH01_P2","Low CO2",54,1,"LA"
"CH01_P3","Low CO2",70,1,"LB"
"CH03_1","Low CO2",5,0,"LA"
"CH03_10","Low CO2",54,1,"LB"
"CH03_11","Low CO2",322,0,"LA"
"CH03_12","Low CO2",9,0,"LA"
"CH03_13","Low CO2",299,0,"LA"
"CH03_14","Low CO2",32,1,"LA"
"CH03_15","Low CO2",324,0,"LB"
"CH03_16","Low CO2",42,0,"LC"
"CH03_17","Low CO2",10,1,"LC"
"CH03_18","Low CO2",14,1,"LB"
"CH03_19","Low CO2",9,0,"LB"
"CH03_2","Low CO2",292,1,"LC"
"CH03_20","Low CO2",63,1,"LA"
"CH03_21","Low CO2",4,0,"LA"
"CH03_22","Low CO2",20,0,"LC"
"CH03_23","Low CO2",258,1,"LB"
"CH03_24","Low CO2",93,0,"LB"
"CH03_25","Low CO2",5,0,"LB"
"CH03_27","Low CO2",69,0,"LA"
"CH03_28","Low CO2",119,1,"LA"
"CH03_29","Low CO2",324,0,"LC"
"CH03_30","Low CO2",23,1,"LB"
"CH03_31","Low CO2",6,0,"LA"
"CH03_32","Low CO2",301,1,"LC"
"CH03_33","Low CO2",324,0,"LB"
"CH03_34","Low CO2",172,1,"LB"
"CH03_36","Low CO2",10,0,"LA"
"CH03_4","Low CO2",322,0,"LB"
"CH03_5","Low CO2",322,0,"LC"
"CH03_6","Low CO2",6,0,"LC"
"CH03_8","Low CO2",323,0,"LC"
"CH03_9","Low CO2",72,1,"LA"
"CH03_P4","Low CO2",320,0,"LB"
"CH03_P5","Low CO2",27,0,"LC"
"CH05_1","High CO2",324,0,"HB"
"CH05_10","High CO2",6,0,"HA"
"CH05_11","High CO2",159,0,"HB"
"CH05_12","High CO2",9,0,"HB"
"CH05_13","High CO2",269,1,"HC"
"CH05_14","High CO2",324,0,"HB"
"CH05_15","High CO2",6,0,"HC"
"CH05_16","High CO2",5,0,"HA"
"CH05_17","High CO2",324,0,"HB"
"CH05_18","High CO2",6,0,"HB"
"CH05_19","High CO2",19,0,"HB"
"CH05_2","High CO2",286,1,"HC"
"CH05_20","High CO2",24,0,"HA"
"CH05_21","High CO2",323,0,"HB"
"CH05_22","High CO2",233,1,"HA"
"CH05_24","High CO2",324,0,"HC"
"CH05_25","High CO2",255,1,"HA"
"CH05_26","High CO2",324,0,"HC"
"CH05_27","High CO2",2,0,"HB"
"CH05_28","High CO2",15,0,"HA"
"CH05_29","High CO2",324,0,"HC"
"CH05_3","High CO2",9,0,"HA"
"CH05_30","High CO2",6,0,"HA"
"CH05_31","High CO2",321,1,"HB"
"CH05_32","High CO2",323,1,"HA"
"CH05_33","High CO2",323,0,"HB"
"CH05_34","High CO2",0,0,"HA"
"CH05_35","High CO2",130,0,"HC"
"CH05_36","High CO2",323,0,"HB"
"CH05_37","High CO2",323,0,"HA"
"CH05_38","High CO2",25,0,"HC"
"CH05_39","High CO2",187,1,"HB"
"CH05_4","High CO2",8,0,"HB"
"CH05_40","High CO2",2,0,"HB"
"CH05_41","High CO2",324,0,"HC"
"CH05_42","High CO2",18,0,"HA"
"CH05_5","High CO2",324,0,"HC"
"CH05_6","High CO2",324,0,"HA"
"CH05_7","High CO2",323,0,"HC"
"CH05_8","High CO2",316,1,"HA"
"CH05_9","High CO2",324,0,"HC"
"CH07_1","Low CO2",21,1,"LA"
"CH07_10","Low CO2",312,1,"LA"
"CH07_11","Low CO2",324,0,"LC"
"CH07_12","Low CO2",245,1,"LB"
"CH07_13","Low CO2",1,0,"LA"
"CH07_14","Low CO2",8,0,"LA"
"CH07_15","Low CO2",18,1,"LC"
"CH07_16","Low CO2",288,1,"LB"
"CH07_17","Low CO2",168,1,"LC"
"CH07_18","Low CO2",18,1,"LB"
"CH07_19","Low CO2",50,0,"LB"
"CH07_2","Low CO2",26,0,"LB"
"CH07_20","Low CO2",4,0,"LA"
"CH07_21","Low CO2",48,0,"LC"
"CH07_22","Low CO2",219,1,"LC"
"CH07_23","Low CO2",302,1,"LB"
"CH07_24","Low CO2",324,0,"LB"
"CH07_25","Low CO2",234,1,"LC"
"CH07_26","Low CO2",271,1,"LB"
"CH07_27","Low CO2",4,0,"LC"
"CH07_28","Low CO2",9,0,"LA"
"CH07_29","Low CO2",4,0,"LC"
"CH07_3","Low CO2",281,1,"LC"
"CH07_30","Low CO2",28,1,"LA"
"CH07_4","Low CO2",321,0,"LA"
"CH07_5","Low CO2",217,1,"LA"
"CH07_6","Low CO2",320,0,"LC"
"CH07_7","Low CO2",229,1,"LB"
"CH07_8","Low CO2",317,0,"LC"
"CH07_9","Low CO2",31,1,"LC"
"CH07_P6","Low CO2",269,1,"LC"
"CH09_1","High CO2",178,1,"HC"
"CH09_10","High CO2",324,0,"HB"
"CH09_11","High CO2",320,0,"HB"
"CH09_12","High CO2",0,0,"HB"
"CH09_13","High CO2",323,0,"HA"
"CH09_14","High CO2",37,1,"HA"
"CH09_15","High CO2",23,0,"HA"
"CH09_16","High CO2",16,0,"HA"
"CH09_17","High CO2",62,1,"HC"
"CH09_18","High CO2",322,0,"HB"
"CH09_19","High CO2",75,0,"HB"
"CH09_2","High CO2",324,0,"HC"
"CH09_20","High CO2",324,0,"HC"
"CH09_21","High CO2",50,0,"HC"
"CH09_22","High CO2",292,1,"HA"
"CH09_23","High CO2",44,1,"HA"
"CH09_24","High CO2",8,0,"HC"
"CH09_25","High CO2",43,0,"HA"
"CH09_26","High CO2",320,0,"HA"
"CH09_27","High CO2",324,0,"HA"
"CH09_28","High CO2",324,0,"HA"
"CH09_29","High CO2",323,0,"HC"
"CH09_3","High CO2",30,0,"HB"
"CH09_30","High CO2",320,0,"HB"
"CH09_31","High CO2",324,0,"HC"
"CH09_32","High CO2",278,1,"HB"
"CH09_33","High CO2",32,1,"HA"
"CH09_34","High CO2",103,1,"HC"
"CH09_35","High CO2",323,0,"HC"
"CH09_36","High CO2",14,0,"HA"
"CH09_37","High CO2",9,0,"HB"
"CH09_38","High CO2",12,0,"HC"
"CH09_39","High CO2",136,1,"HB"
"CH09_4","High CO2",102,1,"HB"
"CH09_40","High CO2",287,0,"HC"
"CH09_41","High CO2",16,1,"HB"
"CH09_42","High CO2",317,1,"HC"
"CH09_6","High CO2",27,1,"HC"
"CH09_7","High CO2",13,0,"HB"
"CH09_8","High CO2",6,0,"HA"
"CH09_9","High CO2",321,0,"HC"
"CH10_1","High CO2",321,0,"HB"
"CH10_10","High CO2",30,1,"HB"
"CH10_11","High CO2",321,0,"HA"
"CH10_12","High CO2",29,1,"HC"
"CH10_13","High CO2",324,0,"HB"
"CH10_14","High CO2",154,1,"HB"
"CH10_15","High CO2",63,1,"HC"
"CH10_16","High CO2",22,1,"HA"
"CH10_17","High CO2",324,0,"HB"
"CH10_18","High CO2",288,1,"HC"
"CH10_19","High CO2",324,0,"HB"
"CH10_2","High CO2",306,1,"HB"
"CH10_21","High CO2",290,0,"HC"
"CH10_22","High CO2",321,0,"HB"
"CH10_24","High CO2",323,0,"HA"
"CH10_25","High CO2",58,1,"HB"
"CH10_26","High CO2",176,1,"HC"
"CH10_28","High CO2",322,0,"HC"
"CH10_29","High CO2",38,1,"HA"
"CH10_3","High CO2",22,0,"HC"
"CH10_30","High CO2",16,0,"HA"
"CH10_32","High CO2",322,0,"HB"
"CH10_33","High CO2",14,0,"HA"
"CH10_34","High CO2",321,0,"HC"
"CH10_35","High CO2",58,0,"HC"
"CH10_36","High CO2",322,0,"HA"
"CH10_37","High CO2",282,1,"HC"
"CH10_38","High CO2",0,0,"HA"
"CH10_4","High CO2",1,0,"HA"
"CH10_40","High CO2",324,0,"HC"
"CH10_41","High CO2",8,0,"HA"
"CH10_5","High CO2",8,0,"HB"
"CH10_6","High CO2",297,1,"HB"
"CH10_7","High CO2",165,0,"HA"
"CH10_8","High CO2",324,0,"HA"
"CH10_9","High CO2",63,1,"HA"
