Individual,Latitude,Longitude,Pop
33985,34.046769,-121.039756,0
100166577,40.306840833333,-124.9656225,0
34212-019,38.71201725,-123.84157125,0
34405-028,47.228651961,-125.13005376,0
34407-022,46.417578877,-124.33823037,0
34808-450,36.497971274,-122.05829378,0
33986,34.01822281,-121.08060063,1
33991,33.10538,-120.955519,1
100203797,32.763693646354,-117.894065987975,1
34407-048,37.11814964,-122.91791329,1
34805-887,36.438985894,-121.96683502,1
34807-501,35.144264347,-121.54115277,1
34807-506,35.645667923,-122.00571408,1
100230476,40.2558128982195,-125.10277593357,2
100231801,40.3198982932555,-124.937893009279,2
100231811,40.163536952996,-124.38751117894,2
31733-036,41.059528431,-124.43077582,2
34406-039,40.318297929,-124.98509582,2
100203746,44.59266125,-125.045749583334,3
100203749,44.6364025,-124.632914166667,3
100222555,45.08324625,-124.944355,3
100241723,44.333328483821,-124.917642419076,3
100241727,43.331470416667,-124.9139,3
50003-09,44.76646,-125.05968,3
100165714,46.858746455356,-124.843959990767,4
100232856,48.068459917997,-125.254515783549,4
31733-011,47.965654412,-125.73853725,4
34807-551,47.933274583,-125.47325833,4
34807-554,47.907465519,-125.52180928,4
